127.0.0.1, 2018-04-24 22:49:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:49:05, GET, /start/default/index, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-24 22:49:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:49:07, GET, /admin/default/site, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-04-24 22:49:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:49:09, GET, /start/default/index, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-24 22:49:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:49:11, GET, /start/default/entry1, HTTP/1.1, 404, 0.023000
127.0.0.1, 2018-04-24 22:49:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:49:13, GET, /start/default/index, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-04-24 22:49:13, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-24 22:49:15, GET, /start/default/index, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-04-24 22:49:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:49:17, GET, /start/default/index, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-04-24 22:49:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/default/user, HTTP/1.1, 303, 0.014000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/default/user/login, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001000
